doc_id,source,machine_langid,model_language,model_quality,model_translation_shaped,model_confidence,model_note
madlad_400_ht_clean:0066331,madlad_400_ht_clean,ht,ht,ok,natural,high,Fluent Kreyol news writing on Fidel Castro
madlad_400_ht_clean:0094956,madlad_400_ht_clean,ht,ht,ok,translated,high,"School program page; English ""Looking"" left in, calqued"
madlad_400_ht_clean:0020210,madlad_400_ht_clean,ht,ht,junk,translated,high,"Chinese almond-oil product listing, mojibake headers"
madlad_400_ht_clean:0086512,madlad_400_ht_clean,ht,ht,ok,translated,high,"SEO crypto how-to, heavy translationese"
madlad_400_ht_clean:0001651,madlad_400_ht_clean,ht,mixed,junk,unsure,med,Scraped discography (Eng titles) + JW snippet mashup
madlad_400_ht_clean:0070342,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT COVID news; ""Breaking"" left in, calqued idioms"
ht_wikipedia:67841,ht_wikipedia,es,ht,ok,natural,high,Kreyol bio; Spanish is only telenovela/character proper nouns
ht_wikipedia:22170,ht_wikipedia,ht,ht,stub,natural,high,"Bot geo stub on Spanish commune, near content-free"
madlad_400_ht_clean:0082473,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT Miami tourism page, garbled phrasing"
ht_wikipedia:89177,ht_wikipedia,tl,ht,ok,natural,high,Kreyol PC article; langid tl wrong
madlad_400_ht_clean:0067492,madlad_400_ht_clean,ht,ht,junk,translated,high,"Chinese steel-coil product listing, MT artifacts"
madlad_400_ht_clean:0078206,madlad_400_ht_clean,ht,ht,ok,natural,high,"Published Haitian Creole Bible (John 3), natural"
madlad_400_ht_clean:0012064,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT fashion listicle; English ""gleaned"" left in"
madlad_400_ht_clean:0100054,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT-from-Russian Rambler Mail how-to, garbled"
madlad_400_ht_clean:0050946,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT Michelin restaurant guide, translationese"
madlad_400_ht_clean:0069067,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT reusable-packaging article, calqued"
ht_wikipedia:83317,ht_wikipedia,en,ht,stub,natural,high,"Film stub; English is title+citation only, langid en wrong"
madlad_400_ht_clean:0010945,madlad_400_ht_clean,ht,ht,junk,translated,high,Chinese packaging vendor page: product nav + MT technical
ht_wikipedia:88074,ht_wikipedia,ht,ht,ok,natural,med,Encyclopedic rank article; some calqued literal terms
madlad_400_ht_clean:0045855,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT university faculty page; ""Awesome"" left in"
madlad_400_ht_clean:0106775,madlad_400_ht_clean,ht,ht,junk,translated,high,Chinese chemicals company/product catalog page
ht_wikipedia:44788,ht_wikipedia,ht,ht,stub,natural,high,"Geo stub (Auburn WA), empty section headers"
madlad_400_ht_clean:0063433,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT marketing author bio, garbled French/Kreyol"
madlad_400_ht_clean:0035976,madlad_400_ht_clean,ht,ht,junk,translated,high,"Chinese gazebo product page; ""Looking for"" left in"
madlad_400_ht_clean:0026847,madlad_400_ht_clean,wa,ht,ok,natural,high,Published Haitian Creole Bible (1 Samuel 23); langid wa wrong
ht_wikipedia:65098,ht_wikipedia,diq,ht,stub,natural,high,"Play cast-list stub; Spanish is title+cast proper nouns, langid diq wrong"
ht_wikipedia:74180,ht_wikipedia,ht,ht,stub,natural,high,"Haitian film stub, cast list"
madlad_400_ht_clean:0071523,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT kitchen-cabinet vendor description, garbled"
madlad_400_ht_clean:0064964,madlad_400_ht_clean,ht,ht,ok,translated,high,MT Air India/Kabul news article
madlad_400_ht_clean:0058993,madlad_400_ht_clean,ht,ht,ok,translated,high,MT architecture/design article on Sydney warehouse
madlad_400_ht_clean:0078057,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT adult games site, connected prose, English left in"
ht_wikipedia:73561,ht_wikipedia,fr,ht,ok,natural,high,"Kreyol filmmaker bio; Spanish are film-title proper nouns, langid fr wrong"
madlad_400_ht_clean:0017201,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT steel-channel vendor technical prose, ""Nerjaveei"" artifact"
madlad_400_ht_clean:0011404,madlad_400_ht_clean,ht,ht,ok,translated,high,MT touchscreen-table vendor marketing
madlad_400_ht_clean:0077602,madlad_400_ht_clean,ht,ht,ok,translated,high,MT-from-Russian dating site copy
ht_wikipedia:68513,ht_wikipedia,fr,ht,ok,natural,med,"Poet bio; body dominated by French bibliography titles, borderline mixed; langid fr"
madlad_400_ht_clean:0105615,madlad_400_ht_clean,ht,ht,ok,translated,high,MT social-media-marketing blog copy
ht_wikipedia:75887,ht_wikipedia,ht,ht,stub,natural,high,"Korean drama stub; cast list, Korean proper nouns"
madlad_400_ht_clean:0054752,madlad_400_ht_clean,ht,ht,junk,translated,high,MT flash-game portal boilerplate + related-games list
madlad_400_ht_clean:0101349,madlad_400_ht_clean,jv,ht,ok,translated,high,MT PVC-flooring vendor page; langid jv wrong
madlad_400_ht_clean:0080110,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT-from-Russian cinema news, heavy translationese"
madlad_400_ht_clean:0069440,madlad_400_ht_clean,jv,ht,ok,natural,high,Authentic native Kreyol opinion blog on Moise assassination; langid jv wrong
madlad_400_ht_clean:0091607,madlad_400_ht_clean,ht,ht,ok,translated,high,MT-from-Italian art-exhibition article
madlad_400_ht_clean:0099509,madlad_400_ht_clean,ht,ht,ok,unsure,med,"Haiti health-insurance news; MT artifact (""ase dokte"") vs native content"
madlad_400_ht_clean:0044057,madlad_400_ht_clean,ht,ht,ok,translated,high,MT electronics box-build vendor page
madlad_400_ht_clean:0092367,madlad_400_ht_clean,ht,ht,ok,translated,high,MT-from-English burns/therapy medical article
madlad_400_ht_clean:0096709,madlad_400_ht_clean,ht,ht,junk,translated,high,MT flash-game portal boilerplate (Barbie game)
madlad_400_ht_clean:0106980,madlad_400_ht_clean,es,ht,ok,natural,high,Authentic native Kreyol diaspora forum post; English is forum metadata; langid es wrong
madlad_400_ht_clean:0002350,madlad_400_ht_clean,ht,ht,ok,natural,high,Fluent native Kreyol news on Bush inauguration; FR code-switching only
madlad_400_ht_clean:0014888,madlad_400_ht_clean,ht,ht,ok,natural,high,Natural Kreyol science/culture magazine piece (floating homes)
ht_wikipedia:5776,ht_wikipedia,ht,ht,stub,natural,high,"Number stub (570), templated empty sections"
madlad_400_ht_clean:0045621,madlad_400_ht_clean,hr,ht,junk,translated,med,"Garbled MT slit-lamp vendor page, mojibake; langid hr wrong"
madlad_400_ht_clean:0011775,madlad_400_ht_clean,ht,ht,ok,translated,high,MT-from-Italian furniture/design magazine
madlad_400_ht_clean:0075561,madlad_400_ht_clean,ht,ht,ok,natural,high,"Official IRS ITIN translation into Kreyol, reads natural"
madlad_400_ht_clean:0068706,madlad_400_ht_clean,ht,ht,ok,translated,high,MT auto-parts (universal joint) technical + catalog
ht_wikipedia:21701,ht_wikipedia,nds,ht,stub,natural,med,"Near-empty stub, only Kreyol section headers; langid nds wrong"
madlad_400_ht_clean:0074277,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT women's-success article, chunks of English left untranslated"
madlad_400_ht_clean:0028911,madlad_400_ht_clean,ht,ht,ok,translated,high,MT smart-meter/energy technical product prose
madlad_400_ht_clean:0092458,madlad_400_ht_clean,ht,ht,ok,translated,high,MT blowout-preventer oil-equipment technical page
madlad_400_ht_clean:0107306,madlad_400_ht_clean,ht,ht,ok,translated,high,MT ectoine-powder chemical product page
madlad_400_ht_clean:0105399,madlad_400_ht_clean,en,other-th,junk,na,high,"Thai gambling SEO spam, genuinely not Kreyol; machine said en, wrong-lang confirmed"
madlad_400_ht_clean:0062312,madlad_400_ht_clean,ht,ht,ok,translated,high,MT diamond-cutting-blade vendor technical page
ht_wikipedia:13298,ht_wikipedia,fr,ht,ok,natural,high,Fluent native Kreyol bio of Odette Roy Fombrun; langid fr wrong
madlad_400_ht_clean:0055375,madlad_400_ht_clean,tl,ht,ok,natural,high,Natural native Kreyol Haitian NGO (Limye Lavi) methodology; langid tl wrong
ht_wikipedia:82397,ht_wikipedia,fr,ht,stub,natural,high,Film stub; titles are proper nouns; langid fr wrong
madlad_400_ht_clean:0016083,madlad_400_ht_clean,ht,ht,ok,natural,high,Natural native Kreyol news on Assange arrest
owned_proverbs:25,owned_proverbs,vi,ht,ok,natural,high,Authentic Haitian proverb; langid vi wrong
madlad_400_ht_clean:0003331,madlad_400_ht_clean,ht,ht,ok,natural,high,Natural native Kreyol Juno7 news on Matisan violence
madlad_400_ht_clean:0100322,madlad_400_ht_clean,ht,ht,ok,translated,high,MT-from-English medical (board-certified surgery)
madlad_400_ht_clean:0025487,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT-from-English web-readability guide, English left in"
madlad_400_ht_clean:0054934,madlad_400_ht_clean,ht,ht,ok,translated,high,MT EGCG/green-tea chemical vendor page
madlad_400_ht_clean:0069741,madlad_400_ht_clean,tl,ht,junk,translated,med,"Steel-alloy catalog, heavy English, MT; langid tl wrong"
madlad_400_ht_clean:0061412,madlad_400_ht_clean,ht,ht,ok,translated,high,MT glass-lined-tank vendor page
madlad_400_ht_clean:0085326,madlad_400_ht_clean,ht,ht,ok,translated,high,MT stationery-gifts vendor marketing
madlad_400_ht_clean:0013578,madlad_400_ht_clean,ht,ht,ok,translated,high,"MT pipe-fitting vendor technical, repetitive"
ht_wikipedia:44398,ht_wikipedia,ht,ht,stub,natural,high,"Geo stub (Irasburg VT), empty sections"
ht_wikipedia:58271,ht_wikipedia,rm,ht,stub,natural,high,"Short software stub (Okawix), Kreyol clear; langid rm wrong"
ht_wikipedia:29700,ht_wikipedia,ht,ht,stub,natural,high,"Geo stub, unfilled template (""Chef-lye li se ?"")"
ht_wikipedia:71336,ht_wikipedia,fr,ht,stub,natural,low,Kreyol intro+headers but body all French filmography (conf 0.895); borderline mixed/fr; langid fr
