doc_id,source,band,machine_langid,machine_flags,language,quality,translation_shaped,notes
madlad_400_ht_clean:0066331,madlad_400_ht_clean,,ht(0.21),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0094956,madlad_400_ht_clean,,ht(0.236),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0020210,madlad_400_ht_clean,,ht(0.267),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0086512,madlad_400_ht_clean,,ht(0.214),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0001651,madlad_400_ht_clean,,ht(0.103),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,mixed,junk,unsure,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0070342,madlad_400_ht_clean,,ht(0.232),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:67841,ht_wikipedia,,es(0.535),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
ht_wikipedia:22170,ht_wikipedia,,ht(0.742),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0082473,madlad_400_ht_clean,,ht(0.492),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:89177,ht_wikipedia,,tl(0.159),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0067492,madlad_400_ht_clean,,ht(0.142),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0078206,madlad_400_ht_clean,,ht(0.117),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0012064,madlad_400_ht_clean,,ht(0.226),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0100054,madlad_400_ht_clean,,ht(0.145),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0050946,madlad_400_ht_clean,,ht(0.357),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0069067,madlad_400_ht_clean,,ht(0.261),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:83317,ht_wikipedia,,en(0.329),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,stub,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0010945,madlad_400_ht_clean,,ht(0.316),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:88074,ht_wikipedia,,ht(0.423),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0045855,madlad_400_ht_clean,,ht(0.278),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0106775,madlad_400_ht_clean,,ht(0.272),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:44788,ht_wikipedia,,ht(0.312),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0063433,madlad_400_ht_clean,,ht(0.324),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0035976,madlad_400_ht_clean,,ht(0.202),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0026847,madlad_400_ht_clean,,wa(0.069),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
ht_wikipedia:65098,ht_wikipedia,,diq(0.125),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
